file_name,version_number,relative_path
act_telop08_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_ps5/_win/
act_telop09_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_ps5/_win/
act_telop10_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_ps5/_win/
act_telop10_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_ps5/_win/
act_telop11_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_ps5/_win/
act_telop11_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_ps5/_win/
act_telop2_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_ps5/_win/
act_telop3_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_ps5/_win/
act_telop4_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_ps5/_win/
act_telop5_alp_ovl.bmp_e350349959b1556776f7b5d2e07689fc,2.0.0,ovr_stm/ctrltype_ps5/_win/
act_telop6_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_ps5/_win/
act_telop8_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_ps5/_win/
act_telop9_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_ps5/_win/
00100d1b,2.0.0,ovr_stm/ctrltype_ps5/ovr_jp/_win/
0030f164,2.0.0,ovr_stm/ctrltype_ps5/ovr_jp/_win/
0038f08e,2.0.0,ovr_stm/ctrltype_ps5/ovr_jp/_win/
009fa21b,2.0.0,ovr_stm/ctrltype_ps5/ovr_jp/_win/
00aeebfc,2.0.0,ovr_stm/ctrltype_ps5/ovr_jp/_win/
00be80b9,2.0.0,ovr_stm/ctrltype_ps5/ovr_jp/_win/
00c5a3fd,2.0.0,ovr_stm/ctrltype_ps5/ovr_jp/_win/
000ebe38,2.0.0,ovr_stm/ctrltype_stmd/_win/
004827bc,2.0.0,ovr_stm/ctrltype_stmd/_win/
0048283c,2.0.0,ovr_stm/ctrltype_stmd/_win/
004828bc,2.0.0,ovr_stm/ctrltype_stmd/_win/
0048293c,2.0.0,ovr_stm/ctrltype_stmd/_win/
004829bc,2.0.0,ovr_stm/ctrltype_stmd/_win/
00482abc,2.0.0,ovr_stm/ctrltype_stmd/_win/
00482b3c,2.0.0,ovr_stm/ctrltype_stmd/_win/
004836bc,2.0.0,ovr_stm/ctrltype_stmd/_win/
0048373c,2.0.0,ovr_stm/ctrltype_stmd/_win/
005fbe37,2.0.0,ovr_stm/ctrltype_stmd/_win/
006bcf85_3bbce8b6d10a47883f9038737995145a,2.0.0,ovr_stm/ctrltype_stmd/_win/
006e99ea,2.0.0,ovr_stm/ctrltype_stmd/_win/
007627bc,2.0.0,ovr_stm/ctrltype_stmd/_win/
0076283c,2.0.0,ovr_stm/ctrltype_stmd/_win/
007628bc,2.0.0,ovr_stm/ctrltype_stmd/_win/
0076293c,2.0.0,ovr_stm/ctrltype_stmd/_win/
007629bc,2.0.0,ovr_stm/ctrltype_stmd/_win/
00762abc,2.0.0,ovr_stm/ctrltype_stmd/_win/
00762b3c,2.0.0,ovr_stm/ctrltype_stmd/_win/
007636bc,2.0.0,ovr_stm/ctrltype_stmd/_win/
0076373c,2.0.0,ovr_stm/ctrltype_stmd/_win/
008c9a00,2.0.0,ovr_stm/ctrltype_stmd/_win/
008dbe37,2.0.0,ovr_stm/ctrltype_stmd/_win/
009527bc,2.0.0,ovr_stm/ctrltype_stmd/_win/
0095283c,2.0.0,ovr_stm/ctrltype_stmd/_win/
009528bc,2.0.0,ovr_stm/ctrltype_stmd/_win/
0095293c,2.0.0,ovr_stm/ctrltype_stmd/_win/
009529bc,2.0.0,ovr_stm/ctrltype_stmd/_win/
00952abc,2.0.0,ovr_stm/ctrltype_stmd/_win/
00952b3c,2.0.0,ovr_stm/ctrltype_stmd/_win/
009536bc,2.0.0,ovr_stm/ctrltype_stmd/_win/
0095373c,2.0.0,ovr_stm/ctrltype_stmd/_win/
00acbe37,2.0.0,ovr_stm/ctrltype_stmd/_win/
00f727bc,2.0.0,ovr_stm/ctrltype_stmd/_win/
00f7283c,2.0.0,ovr_stm/ctrltype_stmd/_win/
00f728bc,2.0.0,ovr_stm/ctrltype_stmd/_win/
00f7293c,2.0.0,ovr_stm/ctrltype_stmd/_win/
00f729bc,2.0.0,ovr_stm/ctrltype_stmd/_win/
00f72abc,2.0.0,ovr_stm/ctrltype_stmd/_win/
00f72b3c,2.0.0,ovr_stm/ctrltype_stmd/_win/
00f736bc,2.0.0,ovr_stm/ctrltype_stmd/_win/
00f7373c,2.0.0,ovr_stm/ctrltype_stmd/_win/
00ff04ea,2.0.0,ovr_stm/ctrltype_stmd/_win/
act_telop02_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_stmd/_win/
act_telop03_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_stmd/_win/
act_telop04_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_stmd/_win/
act_telop05_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_stmd/_win/
act_telop06_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_stmd/_win/
act_telop08_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_stmd/_win/
act_telop09_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_stmd/_win/
act_telop10_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_stmd/_win/
act_telop10_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_stmd/_win/
act_telop11_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_stmd/_win/
act_telop11_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_stmd/_win/
act_telop2_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_stmd/_win/
act_telop3_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_stmd/_win/
act_telop4_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_stmd/_win/
act_telop5_alp_ovl.bmp_e350349959b1556776f7b5d2e07689fc,2.0.0,ovr_stm/ctrltype_stmd/_win/
act_telop6_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_stmd/_win/
act_telop8_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_stmd/_win/
act_telop9_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_stmd/_win/
000ebe38,2.0.0,ovr_stm/ctrltype_xs/_win/
004827bc,2.0.0,ovr_stm/ctrltype_xs/_win/
0048283c,2.0.0,ovr_stm/ctrltype_xs/_win/
004828bc,2.0.0,ovr_stm/ctrltype_xs/_win/
0048293c,2.0.0,ovr_stm/ctrltype_xs/_win/
004829bc,2.0.0,ovr_stm/ctrltype_xs/_win/
00482abc,2.0.0,ovr_stm/ctrltype_xs/_win/
00482b3c,2.0.0,ovr_stm/ctrltype_xs/_win/
004836bc,2.0.0,ovr_stm/ctrltype_xs/_win/
0048373c,2.0.0,ovr_stm/ctrltype_xs/_win/
005fbe37,2.0.0,ovr_stm/ctrltype_xs/_win/
006bcf85_3bbce8b6d10a47883f9038737995145a,2.0.0,ovr_stm/ctrltype_xs/_win/
006e99ea,2.0.0,ovr_stm/ctrltype_xs/_win/
007627bc,2.0.0,ovr_stm/ctrltype_xs/_win/
0076283c,2.0.0,ovr_stm/ctrltype_xs/_win/
007628bc,2.0.0,ovr_stm/ctrltype_xs/_win/
0076293c,2.0.0,ovr_stm/ctrltype_xs/_win/
007629bc,2.0.0,ovr_stm/ctrltype_xs/_win/
00762abc,2.0.0,ovr_stm/ctrltype_xs/_win/
00762b3c,2.0.0,ovr_stm/ctrltype_xs/_win/
007636bc,2.0.0,ovr_stm/ctrltype_xs/_win/
0076373c,2.0.0,ovr_stm/ctrltype_xs/_win/
008c9a00,2.0.0,ovr_stm/ctrltype_xs/_win/
008dbe37,2.0.0,ovr_stm/ctrltype_xs/_win/
009527bc,2.0.0,ovr_stm/ctrltype_xs/_win/
0095283c,2.0.0,ovr_stm/ctrltype_xs/_win/
009528bc,2.0.0,ovr_stm/ctrltype_xs/_win/
0095293c,2.0.0,ovr_stm/ctrltype_xs/_win/
009529bc,2.0.0,ovr_stm/ctrltype_xs/_win/
00952abc,2.0.0,ovr_stm/ctrltype_xs/_win/
00952b3c,2.0.0,ovr_stm/ctrltype_xs/_win/
009536bc,2.0.0,ovr_stm/ctrltype_xs/_win/
0095373c,2.0.0,ovr_stm/ctrltype_xs/_win/
00acbe37,2.0.0,ovr_stm/ctrltype_xs/_win/
00f727bc,2.0.0,ovr_stm/ctrltype_xs/_win/
00f7283c,2.0.0,ovr_stm/ctrltype_xs/_win/
00f728bc,2.0.0,ovr_stm/ctrltype_xs/_win/
00f7293c,2.0.0,ovr_stm/ctrltype_xs/_win/
00f729bc,2.0.0,ovr_stm/ctrltype_xs/_win/
00f72abc,2.0.0,ovr_stm/ctrltype_xs/_win/
00f72b3c,2.0.0,ovr_stm/ctrltype_xs/_win/
00f736bc,2.0.0,ovr_stm/ctrltype_xs/_win/
00f7373c,2.0.0,ovr_stm/ctrltype_xs/_win/
00ff04ea,2.0.0,ovr_stm/ctrltype_xs/_win/
act_telop02_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_xs/_win/
act_telop03_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_xs/_win/
act_telop04_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_xs/_win/
act_telop05_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_xs/_win/
act_telop06_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_xs/_win/
act_telop08_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_xs/_win/
act_telop09_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_xs/_win/
act_telop10_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_xs/_win/
act_telop10_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_xs/_win/
act_telop11_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_xs/_win/
act_telop11_jp_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_xs/_win/
act_telop2_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_xs/_win/
act_telop3_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_xs/_win/
act_telop4_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_xs/_win/
act_telop5_alp_ovl.bmp_e350349959b1556776f7b5d2e07689fc,2.0.0,ovr_stm/ctrltype_xs/_win/
act_telop6_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_xs/_win/
act_telop8_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_xs/_win/
act_telop9_alp_ovl.bmp,2.0.0,ovr_stm/ctrltype_xs/_win/
